title,datetime,location,address,latitude,longitude,description,link
Der Grüffelo (ab 4),2025-07-31T10:00:00,marotte Theater,"Kaiserallee 11, 76133 Karlsruhe",49.0102313,8.3851507,"Der große Wald ist voller Gefahren. Da ist es gut, wenn man einen starken Freund hat. Und wenn man keinen hat, erfindet man sich eben einen. 
So wie die kleine Maus, die jedem, der sie fressen will, mit dem schrecklichen Grüffelo droht. Dabei gibt`s Grüffelos gar nicht. Oder doch?Spiel: Roberta Ascani   Regie: Eva Kaufmann",https://kalender.karlsruhe.de/db/termine/theater/der_gruffelo_ab4n-39
SHOUT OUT LOUDS,2025-07-30T20:30:00,Kulturzentrum Tollhaus,"Alter Schlachthof 35, 76131 Karlsruhe",49.0044252,8.4317094,"Vor über 20 Jahren veröffentlichten die schwedischen Indie-Legenden Shout Out Louds ihr umjubeltes Debütalbum „Howl Howl Gaff Gaff“ mit mittlerweile kultigen Hits wie „Please Please Please“, „The Comeback“ und „Very Loud“. Das Album war der Startschuss für eine lange internationale Karriere, die TV-Auftritte bei David Letterman und Jay Leno sowie weltweite Tourneen mit angesagten Bands der Zeit wie The Strokes, Depeche Mode und Kings of Leon umfasste. Ihr leichtfüßiger, aber druckvoller, gitarren- betonter und treibender Indie-Pop hat eine große Intensität und wird gerne mit The Cure, The Smiths und sogar Oasis verglichen und wird von von Adam Olenius’ charakteristischer Stimme getragen. Nach dem überwältigenden Erfolg der Konzerte im Frühjahr 2024, die binnen weniger Tage ausverkauft waren, kommt die Band auf vielfache Nachfrage wieder nach Deutschland, um back to the roots in den Clubs und auf den Festivals aufzutreten, in denen alles begann. Hier werden sie das komplette Debütalbum und die Hits ihrer langen Karriere präsentieren.",https://kalender.karlsruhe.de/db/termine/musik/shout_out_louds
Musikalischer Sommersegen,2025-08-04T19:00:00,Stadtkirche Durlach,"Pfinztalstraße 31, 76227 Karlsruhe",48.9988594,8.4713534,Leitung: Carmen Buchert-Eintritt frei-,https://kalender.karlsruhe.de/db/termine/musik/musikalischer_sommersegen-1
Sightjogging-Sportlich unterwegs durch Karlsruhe,2025-07-30T18:00:00,City Tour durch Karlsruhe,,,,"Joggst du gerne?Wie wäre es dann einmal, wenn du deine Laufroute ein wenig veränderst und in einer Gruppe Gleichgesinnter vertraute und unbekannte Ecken von Karlsruhe erläufst?Erlebe eine unvergessliche Joggingtour und statt Musik auf den Ohren gibt es bei dieser Tour einiges Amüsantes, Interessantes, Anekdoten und Fakten über die Fächerstadt Karlsruhe zu erfahren.Die ca. 1,5-stündige Joggingtour durch Karlsruhe beginnt direkt auf dem Marktplatz in Karlsruhe an der Pyramide.Preise:Erwachsene: Euro 10,00InfoTel.: 0721/91679888 oder mobil 0179/2935072Internet: www.stadtfuehrungen-karlsruhe.deAnmeldung erforderlichMindestteilnehmerzahl: 6 PersonenAuch andere Termine sind jederzeit möglichBuchbar auch exklusiv als Gruppenevent",https://kalender.karlsruhe.de/db/termine/sportveranstaltung/sightjogging_sportlich_unterwegs_durch_karlsruhe-15
Vortrag von Prof. Dr. Kurt Möser: Der Wasserstoffbulli aus dem Kernforschungszentrum,2025-07-30T18:00:00,Zentrum für Kunst und Medien (ZKM) |  Medialounge,"Lorenzstraße 19 , 76135 Karlsruhe",49.0012852,8.3836005,"Als der Volkswagen Transporter am Kernforschungszentrum mit Wasserstoffantrieb fuhr, hatte die Autoindustrie diesen Energieträger für Individualfahrzeuge gerade erst in den Blick genommen.Warum es am Zentrum zu dieser Entwicklung kommen konnte, wird hier vor dem Hintergrund der automobilhistorischen Entwicklungen wie auch mit Blick auf die Situation am Kernforschungszentrum erläutert.Prof. Dr. Kurt Möserist Technikhistoriker, Autor und pensionierter außerplanmäßiger Professor für Geschichte am KIT.",https://kalender.karlsruhe.de/db/termine/ausstellungen/vortrag_von_prof_dr_kurt_moser_der_wasserstoffbulli
Karlsruhe Stadtführung per Rad,2025-07-30T17:00:00,City Tour durch Karlsruhe,,,,"Diese ganz besondere Stadtführung beginnt direkt an der Pyramide auf dem Marktplatz.Viele Highlights und Insidertipps werden auch Karlsruher überraschen.Die ca. 3-stündige Fahrradtour durch Karlsruhe zeigt Ihnen viele Sehenswürdigkeiten der Stadt.Sollten Sie über kein eigenes Fahrrad verfügen sprechen Sie uns gerne an.Anmeldung erforderlich unter: Marc.Fischer@boservice.org oder Telefon: 0721/91679888 mobil: 0170/2935072Mindestteilnehmeranzahl: 6 PersonenDie Tour kann auch exklusiv als Gruppenevent gebucht werden.Preise:Erwachsene: Euro 18,00Kinder bis 14 Jahre: 10,00Internet: www.stadtfuehrungen-karlsruhe.de",https://kalender.karlsruhe.de/db/termine/sportveranstaltung/karlsruhe_stadtfuhrung_per_rad-49
Streetart in Karlsruhe - Route C (per Rad),2025-07-30T17:00:00,"vor dem Eingang des Kulturzentrums ""Tollhaus""","Alter Schlachthof 35, 76131 Karlsruhe",49.0044252,8.4317094,"Stadtführungen einmal anders - spannend, informativ und immer überraschend! Die Führungen von stattreisen Karlsruhe 
e.V. ermöglichen neue 
Einblicke in Geschichte und Architektur, in das Alltagsleben früherer Zeiten - und in verborgene Ecken und Winkel
der Stadt, die Einheimische und Gäste der Stadt gleichermaßen faszinieren.Anmeldung und Informationen zur Teilnahmegebühr auf der Website!",https://kalender.karlsruhe.de/db/termine/stadtleben/streetart_in_karlsruhe_route_c_per_rad
VORLESEZEIT in der Kinder- & Jugendbibliothek - ENTFÄLLT,2025-07-30T16:00:00,Stadtbibliothek Karlsruhe - Kinder- und Jugendbibliothek Karlsruhe im Prinz-Max-Palais,"Prinz-Max-Palais, Karlstraße 10, 76133 Karlsruhe",49.0111857,8.3947581,"""Lies mir doch was vor!""  - Diesen Wunsch vieler Kinder wollen wir gerne erfüllen und bieten für Kinder von 3 bis 5 Jahren an jedem Mittwochnachmit­tag jeweils um 16 Uhr eine Vorleserunde an.Zielgruppe:von 3 bis 5 JahrenAnmeldung:ohne AnmeldungEintritt:kostenfreiOrt:Kinder- und JugendbibliothekIllustration: AdobeStock - GoodStudio",https://kalender.karlsruhe.de/db/termine/literatur/vorlesezeit_in_der_kinder_jugendbibliothek_entfallt-5
Bücherblitz im Turmbergbad,2025-07-30T14:00:00,Durlach,Durlach Innenstadt,,,"Wir sind mit unserem Lastenfahrrad ""Bücherblitz"" im Turmbergbad Durlach und sorgen mit einer bunten Medienauswahl für Unterhaltung zwischendurch. An einzelnen Terminen bieten wir auch Vorlesen und andere Aktionen an. Kommt vorbei!Zielgruppe:alle InteressiertenOrt:Turmbergbad Durlach, Alte Weingartener Str. 40, 76227 KarlsruheFoto: AdobeStock - zamuruev",https://kalender.karlsruhe.de/db/termine/literatur/bucherblitz_im_turmbergbad-5
Orgelpunkt,2025-07-30T12:15:00,Kleine Kirche Karlsruhe,"Kaiserstraße 131 nähe Marktplatz,  Karlsruhe",,,"Die Kleine Kirche Karlsruhe - das älteste Gotteshaus und ein Kleinod der Stadt - hat im Frühjahr 2019 eine neue, der Bedeutung und Atmosphäre des Raums angemessene Orgel erhalten: Die klangvolle frühromantische Orgel der Firma Lenter aus Sachsenheim/Ludwigsburg.Orgelpunkt - 20 Minuten Orgelmusik zur Mittagszeit, interpretiert von Organistinnen und Organisten aus Karlsruhe und der Region, bei freiem Eintritt immer mittwochs um 12.15 Uhr (nicht an Feiertagen und in den Schulferien).",https://kalender.karlsruhe.de/db/termine/musik/orgelpunkt-50
Das kleine Gespenst (ab 5),2025-07-30T10:00:00,marotte Theater,"Kaiserallee 11, 76133 Karlsruhe",49.0102313,8.3851507,"Das kleine Gespenst wohnt seit uralten Zeiten hoch oben auf Burg Eulenstein. 
Jede Nacht, Punkt Mitternacht, spukt es durch die dunklen Gänge. Aber insgeheim hat das kleine Gespenst einen großen Wunsch: Es möchte einmal die Welt bei Tageslicht sehen! Durch einen unglücklichen Zufall geht dieser Wunsch plötzlich in Erfüllung. Mit neugierigen Augen erkundet es die Welt bei Tageslicht und sorgt dabei für riesengroßen Wirbel!Spiel: Carsten DittrichRegie: Lisa Augustinowski",https://kalender.karlsruhe.de/db/termine/theater/das_kleine_gespenst_ab5n-13
Onleihe Sprechstunde,2025-07-30T10:00:00,Stadtbibliothek Karlsruhe - Stadtbibliothek im Neuen Ständehaus,"Ständehausstraße 2, 76133 Karlsruhe",49.0089211,8.4003588,"Die kostenlose Sprech­stunde richtet sich an alle Inter­es­sier­ten mitindivi­du­el­len Fragen rund um die digitale Bibliothek ""Onleihe"". Fachleute der Stadt­bi­blio­thek beant­wor­ten Fragen und zeigen die Handhabung an entspre­chen­den Lesege­rä­ten (E-Book-Reader oder Tablets). Es dürfen gerne eigene Geräte mitge­bracht werden. Eine Anmeldung ist nicht erfor­der­lich.Zielgruppe:Onleihe Nutzer*innenAnmeldung:ohne AnmeldungEintritt:kostenfreiOrt:Stadtbibliothek im Neuen Ständehaus, Infotheke im 2. OG",https://kalender.karlsruhe.de/db/termine/literatur/onleihe_sprechstunde-137
Community Day | PRANA,2025-07-30T08:00:00,TRIANGEL Transfer | Kultur | Raum,"Kaiserstraße 93, 76133 Karlsruhe",49.0092217,8.4087317,"Auch im Juli heißt es wieder für Dich:PRANA – Dein neuer Start in den Mittwochvor Open House. Diesen Monat widmen wir uns einem ganz besonderen Thema: ATEM.Was ist PRANA?PRANA bedeutet Lebensenergie – und genau die wollen wir gemeinsam wecken. In unserem neuen gleichnamigen Format geht es darum, ganz bewusst in den Tag zu starten: bei Dir anzukommen und im Miteinander zu wachsen. Im Rahmen der Einheiten werden fundierte Inhalte zur Förderung von Körperbewusstsein, Stressregulation und gesunder, achtsamer Bewegung vermittelt.So läuft’s ab:8:00 Uhr – Get-in (Werkstatt oder Studio im TRIANGEL am Kronenplatz)8:15 Uhr – 45 Minuten körperliches Lernen & Erleben9:00 Uhr – gemeinsamer Start ins Open HouseGemeinsam mit Yoga-LehrerinLenalernst Du einfache, aber kraftvolle Techniken, um Deinen Körper, Geist und Atem in Einklang zu bringen – und mit frischer Energie in den Tag zu gehen.Ob Du regelmäßig meditierst oder etwas ganz Neues ausprobieren möchtest:PRANAist für alle offen, die neugierig sind, mehr Verbindung zu sich selbst und anderen zu entdecken.Bring gerne Deine eigene Yogamatte mit, wenn Du eine hast!Wir freuen uns auf Dich!",https://kalender.karlsruhe.de/db/termine/sportveranstaltung/community_day_prana-5
WELSHLY ARMS,2025-07-29T20:30:00,Kulturzentrum Tollhaus,"Alter Schlachthof 35, 76131 Karlsruhe",49.0044252,8.4317094,"Die Band aus Cleveland, Ohio, steht für eine mitreißende Mischung aus Rock’n’Roll, Blues und Soul, die live für pure Energie sorgt. Die charismatische Stimme von Frontmann Sam Getz, die beeindruckenden Chorgesänge von Bri und Jon Bryant sowie die groovigen Basslines und Synth-Effekte von Jimmy Weaver sowie Mikey Goulds dynamisches Schlagzeugspiel, das den Sound der Band abrundet, prägen die Musik der Welshly Arms, die 2017 mit „Legendary“ einen Welthit schuf und sich in die internationalen Charts ebenso katapultierte wie auf die Bühnen der größten Festivals der Welt, darunter Rock am Ring, Lollapalooza und das Reading & Leeds Festival. Besonders einem breiten Publikum besonders bekannt wurden die Welshly Arms durch ihre Beiträge zur Filmmusik. Die Single ""Legendary"" dient dem ""Power Rangers""-Film 2017 ebenso als Titelmusik wie auch der Serie ""Empire"". Für Quentin Tarantinos ""Hateful Eight"" schrieben sie ""Hold On, I'm Comming"", mit Songs wie ""Learn to let go"" und ""Sanctuary"" kletterten die Welshly Arms aber auch in die deutschen Top Ten. Zuletzt veröffentlichten die Welshly Arms ihr neuestes Album „Wasted Words & Bad Decisions“.",https://kalender.karlsruhe.de/db/termine/musik/welshly_arms
MINISTRY,2025-07-29T19:00:00,Substage Karlsruhe e.V.,"Durlacher Allee 62 , 76131 Karlsruhe",49.0060894,8.4331082,"Regime kommen und gehen. Sterne leuchten und verblassen. Trends kommen und gehen. MINISTRY lebt weiter. Die sechsfach für den GRAMMY nominierte Multiplatin-Band, gegründet und angeführt von Al Jourgensen, hat sich über vier Jahrzehnte in die dunkelsten Ecken der Popkultur geschlichen und den Mainstream infiziert, indem sie genüsslich akustische Galle zwischen den Rissen der Systemfassade spuckte. Geboren in den Achtzigern, überlebten sie die Neunziger, überstanden die Jahrhundertwende und hielten sogar eine verdammte Pandemie durch. MINISTRY zeigt jedoch keine Anzeichen, anzuhalten oder langsamer zu werden – nicht einmal für einen Moment. Stattdessen haut die Band – „Uncle Al“, John Bechdel (Keyboards), Monte Pittman (Gitarre), Cesar Soto (Gitarre), Roy Mayorga (Schlagzeug) und Paul D’Amour (Bass) – auf ihrem 2023 erschienenen Opus und sechzehnten Album HOPIUMFORTHEMASSES (Nuclear Blast) eine weitere Ladung hymnischen Industrial Metal raus. Die Gitarren krachen, das Schlagzeug grollt und Al ist so selbstgerecht und streitsüchtig wie eh und je über eine beschissene Welt, die reif für einen Tritt in den Hintern ist.Einlass: 18:00 UhrAltersfreigabe: ab 16 Jahren",https://kalender.karlsruhe.de/db/termine/musik/ministry
